Respondent ID,First Name,Last Name,Age,Gender,Region of Birth,Favorite Food Type,Car Preference,Political Leaning
R040,Timothy,Jones,19,Male,Pacific Northwest,Ethiopian,No Preference,Centrist
R041,Richard,Allen,51,Male,Midwest,Vietnamese,No Preference,Centrist
R042,David,Lewis,87,Male,West,Ethiopian,No Preference,Centrist
R043,Carol,Scott,56,Female,Southeast,American BBQ,Foreign,Centrist
R044,Barbara,Moore,54,Female,New England,Thai,Domestic,Liberal
R045,Sarah,Allen,80,Female,West,Mexican,Foreign,Conservative
R046,James,Perez,34,Male,West,Indian,Domestic,Conservative
R047,James,Davis,27,Male,Midwest,Pizza,Foreign,Conservative
R048,Margaret,Rodriguez,23,Female,West,Vietnamese,No Preference,Centrist
R049,Laura,Thompson,44,Female,Southwest,Chinese,Foreign,Conservative
R050,Donna,Mitchell,37,Female,Southwest,Indian,No Preference,Centrist
R051,Mary,Lopez,60,Female,Mountain West,Greek,Foreign,Centrist
R052,Jason,Williams,78,Male,Southwest,Thai,Domestic,Conservative
R053,Ronald,Anderson,46,Male,Northeast,Thai,Domestic,Liberal
R054,Timothy,Moore,62,Male,Deep South,Middle Eastern,Domestic,Centrist
R055,James,Davis,51,Male,Midwest,Sushi,No Preference,Liberal
R056,Anthony,Thompson,58,Male,Mountain West,Ethiopian,No Preference,Liberal
R057,Susan,Taylor,23,Female,Mountain West,Italian,Domestic,Centrist
R058,Melissa,Mitchell,43,Female,Mid-Atlantic,Southern/Soul Food,Foreign,Conservative
R059,Christopher,Nelson,33,Male,West,Steakhouse,Foreign,Conservative
R060,Charles,Scott,34,Male,Southwest,Southern/Soul Food,Domestic,Conservative
R061,Elizabeth,Flores,90,Female,West,Middle Eastern,Domestic,Liberal
R062,Anthony,Nguyen,95,Male,Mid-Atlantic,Tex-Mex,Domestic,Centrist
R063,Stephanie,Mitchell,39,Female,Southeast,Mediterranean,Domestic,Conservative
R064,Edward,Carter,48,Male,West,Greek,Domestic,Liberal
R065,Donald,Flores,27,Male,Pacific Northwest,Southern/Soul Food,No Preference,Conservative
R066,Betty,Young,69,Female,Southwest,American BBQ,Domestic,Liberal
R067,Deborah,Miller,72,Female,Southwest,Indian,Domestic,Centrist
R068,Paul,Thomas,33,Male,Pacific Northwest,American BBQ,Domestic,Conservative
R069,River,Lee,74,Non-binary,New England,Steakhouse,Domestic,Centrist
R070,David,Mitchell,78,Male,Pacific Northwest,French,Domestic,Centrist
R071,Timothy,King,80,Male,Southwest,French,Domestic,Centrist
R072,Christopher,Lee,87,Male,Southeast,American BBQ,Foreign,Conservative
R073,Richard,Jones,71,Male,Mountain West,Korean,Domestic,Conservative
R074,Anthony,Harris,92,Male,Northeast,Sushi,Domestic,Liberal
R075,Timothy,Harris,71,Male,Deep South,Pizza,Domestic,Centrist
R076,Sarah,Ramirez,80,Female,Northeast,Middle Eastern,Foreign,Centrist
R077,David,Robinson,34,Male,New England,Pizza,Foreign,Conservative
R078,Mary,Garcia,100,Female,Mountain West,American BBQ,No Preference,Liberal
R079,Christopher,Wilson,76,Male,Mid-Atlantic,Korean,Domestic,Conservative
R080,Rebecca,Clark,50,Female,Southeast,Seafood,Foreign,Conservative
R081,Riley,Anderson,26,Non-binary,Northeast,Italian,No Preference,Liberal
R082,William,Thomas,34,Male,Pacific Northwest,Chinese,Domestic,Liberal
R083,Deborah,White,39,Female,New England,Ethiopian,No Preference,Centrist
R084,Elizabeth,Martin,31,Female,New England,Italian,No Preference,Conservative
R085,Betty,Sanchez,43,Female,Southeast,Sushi,Domestic,Conservative
R086,Timothy,Martin,94,Male,Southeast,Sushi,Domestic,Conservative
R087,Daniel,Jones,82,Male,Mid-Atlantic,Italian,No Preference,Centrist
R088,Daniel,Green,76,Male,Midwest,Southern/Soul Food,Foreign,Conservative
R089,Donna,Wright,79,Female,Pacific Northwest,Southern/Soul Food,Domestic,Conservative
R090,Joseph,Garcia,53,Male,Pacific Northwest,Greek,Domestic,Conservative
R091,Lisa,Johnson,81,Female,Mid-Atlantic,Indian,Domestic,Conservative
R092,Thomas,Hill,53,Male,Deep South,Italian,Domestic,Liberal
R093,Anthony,Young,89,Male,Southwest,Seafood,Domestic,Conservative
R094,Jennifer,Jackson,46,Female,Mountain West,Greek,Foreign,Conservative
R095,Steven,Thompson,72,Male,Deep South,Korean,Foreign,Conservative
R096,Joseph,Davis,42,Male,Mid-Atlantic,Chinese,Domestic,Centrist
R097,Susan,Wilson,79,Female,West,Sushi,No Preference,Conservative
R098,Michael,Gonzalez,55,Male,Southwest,Vietnamese,Foreign,Liberal
R099,Sarah,Williams,24,Female,Deep South,Mediterranean,Domestic,Liberal
R100,Ashley,Miller,19,Female,New England,Mediterranean,Domestic,Conservative
